Multipole_ell,D_ell_LambdaCDM_Theory,D_ell_ECF_Theory
163,2260.783603534228,2260.783603534228
164,2314.3063409962842,2314.3063409962842
165,2368.7082375772084,2368.7082375772084
166,2423.9488697853026,2423.9488697853026
167,2479.9848230631906,2479.9848230631906
168,2536.7697011732403,2536.7697011732403
169,2594.2541454318243,2594.2541454318243
170,2652.3858640464205,2652.3858640464205
171,2711.1096717727673,2711.1096717727673
172,2770.3675400701486,2770.3675400701486
173,2830.098657891631,2830.098657891631
174,2890.2395032027916,2890.2395032027916
175,2950.723925277391,2950.723925277391
176,3011.4832377717894,3011.4832377717894
177,3072.4463225318323,3072.4463225318323
178,3133.5397440367174,3133.5397440367174
179,3194.6878743342845,3194.6878743342845
180,3255.813028271402,3255.813028271402
181,3316.83560877205,3316.83560877205
182,3377.6742618645203,3377.6742618645203
183,3438.246041108212,3438.246041108212
184,3498.466581020021,3498.466581020021
185,3558.2502790507465,3558.2502790507465
186,3617.5104856133617,3617.5104856133617
187,3676.1597016179435,3676.1597016179435
188,3734.109782922673,3734.109782922673
189,3791.2721510669494,3791.2721510669494
190,3847.5580096116287,3847.5580096116287
191,3902.8785653729587,3902.8785653729587
192,3957.145253801158,3957.145253801158
193,4010.26996772216,4010.26996772216
194,4062.165288631914,4062.165288631914
195,4112.744719707152,4112.744719707152
196,4161.922919674807,4161.922919674807
197,4209.6159366645825,4209.6159366645825
198,4255.741441155571,4255.741441155571
199,4300.218957118616,4300.218957118616
200,4342.970090451223,4342.970090451223
201,4383.918753801491,4383.918753801491
202,4422.991386881795,4422.991386881795
203,4460.117171381744,4460.117171381744
204,4495.228239603394,4495.228239603394
205,4528.259875959762,4528.259875959762
206,4559.1507105001965,4559.1507105001965
207,4587.842903653224,4587.842903653224
208,4614.28232140888,4614.28232140888
209,4638.418700198049,4638.418700198049
210,4660.205800766038,4660.205800766038
211,4679.601550381016,4679.601550381016
212,4696.5681727650945,4696.5681727650945
213,4711.0723051863,4711.0723051863
214,4723.085102203286,4723.085102203286
215,4732.58232561112,4732.58232561112
216,4739.544420195398,4739.544420195398
217,4743.956574963178,4743.956574963178
218,4745.808769582203,4745.808769582203
219,4745.095805824497,4745.095805824497
220,4741.817323876096,4741.817323876096
221,4735.977803441168,4735.977803441168
222,4727.586549635685,4727.586549635685
223,4716.657663732693,4716.657663732693
224,4703.209998887882,4703.209998887882
225,4687.26710103988,4687.26710103988
226,4668.857135244572,4668.857135244572
227,4648.0127977659195,4648.0127977659195
228,4624.771214307309,4624.771214307309
229,4599.173824826723,4599.173824826723
230,4571.266255435874,4571.266255435874
231,4541.098177937493,4541.098177937493
232,4508.723157605921,4508.723157605921
233,4474.198489863746,4474.198489863746
234,4437.585026551271,4437.585026551271
235,4398.946992525758,4398.946992525758
236,4358.35179336363,4358.35179336363
237,4315.869814970718,4315.869814970718
238,4271.574215933394,4271.574215933394
239,4225.540713466614,4225.540713466614
240,4177.847363833567,4177.847363833567
241,4128.574338125806,4128.574338125806
242,4077.803694302166,4077.803694302166
243,4025.6191463897285,4025.6191463897285
244,3972.1058317503907,3972.1058317503907
245,3917.350077312399,3917.350077312399
246,3861.439165657591,3861.439165657591
247,3804.461101842151,3804.461101842151
248,3746.504381811564,3746.504381811564
249,3687.657763249318,3687.657763249318
250,3628.0100396739444,3628.0100396739444
251,3567.6498185704013,3567.6498185704013
252,3506.665304309803,3506.665304309803
253,3445.1440865763707,3445.1440865763707
254,3383.1729349824027,3383.1729349824027
255,3320.8376005114105,3320.8376005114105
256,3258.222624386508,3258.222624386508
257,3195.411154916056,3195.411154916056
258,3132.48477282171,3132.48477282171
259,3069.5233255056714,3069.5233255056714
260,3006.6047706644945,3006.6047706644945
261,2943.805029606425,2943.805029606425
262,2881.197850578354,2881.197850578354
263,2818.854682357349,2818.854682357349
264,2756.844558310548,2756.844558310548
265,2695.233991076454,2695.233991076454
266,2634.0868779704306,2634.0868779704306
267,2573.464417167863,2573.464417167863
268,2513.4250346702097,2513.4250346702097
269,2454.024322012283,2454.024322012283
270,2395.314984623774,2395.314984623774
271,2337.346800714498,2337.346800714498
272,2280.166590511264,2280.166590511264
273,2223.818195634838,2223.818195634838
274,2168.342468368297,2168.342468368297
275,2113.777270533393,2113.777270533393
276,2060.1574816593293,2060.1574816593293
277,2007.5150160987894,2007.5150160987894
278,1955.8788487192805,1955.8788487192805
279,1905.2750487737007,1905.2750487737007
280,1855.7268215328302,1855.7268215328302
281,1807.2545572439626,1807.2545572439626
282,1759.8758869642948,1759.8758869642948
283,1713.6057448048482,1713.6057448048482
284,1668.4564361106593,1668.4564361106593
285,1624.4377110956655,1624.4377110956655
286,1581.5568434460272,1581.5568434460272
287,1539.8187134035552,1539.8187134035552
288,1499.2258948413198,1499.2258948413198
289,1459.7787458463026,1459.7787458463026
290,1421.4755023290334,1421.4755023290334
291,1384.3123741873546,1384.3123741873546
292,1348.2836435607196,1348.2836435607196
293,1313.3817647225364,1313.3817647225364
294,1279.5974651709307,1279.5974651709307
295,1246.9198474927805,1246.9198474927805
296,1215.3364915917466,1215.3364915917466
297,1184.833556888224,1184.833556888224
298,1155.395884117459,1155.395884117459
299,1127.0070963713756,1127.0070963713756
300,1099.6496990497922,1099.6496990497922
301,1073.3051784075003,1073.3051784075003
302,1047.9540984050452,1047.9540984050452
303,1023.5761955927339,1023.5761955927339
304,1000.1504717794077,1000.1504717794077
305,977.6552842595597,977.6552842595597
306,956.0684333944944,956.0684333944944
307,935.3672473651174,935.3672473651174
308,915.5286639356677,915.5286639356677
309,896.5293090890154,896.5293090890154
310,878.3455724150255,878.3455724150255
311,860.9536791538386,860.9536791538386
312,844.3297588155991,844.3297588155991
313,828.4499103171875,828.4499103171875
314,813.2902635947255,813.2902635947255
315,798.8270376680539,798.8270376680539
316,785.036595149904,785.036595149904
317,771.8954932081064,771.8954932081064
318,759.3805310038526,759.3805310038526
319,747.4687936427191,747.4687936427191
320,736.1376926878655,736.1376926878655
321,725.3650032965239,725.3650032965239
322,715.1288980515789,715.1288980515789
323,705.4079775697348,705.4079775697348
324,696.1812979764472,696.1812979764472
325,687.4283953455079,687.4283953455079
326,679.1293072079064,679.1293072079064
327,671.2645912404043,671.2645912404043
328,663.8153412491231,663.8153412491231
329,656.7632005674778,656.7632005674778
330,650.0903729909215,650.0903729909215
331,643.7796313733352,643.7796313733352
332,637.8143240114618,637.8143240114618
333,632.1783789446458,632.1783789446458
334,626.856306297308,626.856306297308
335,621.8331987911151,621.8331987911151
336,617.0947305527473,617.0947305527473
337,612.6271543415606,612.6271543415606
338,608.4172973193369,608.4172973193369
339,604.4525554817544,604.4525554817544
340,600.7208868682512,600.7208868682512
341,597.2108036636206,597.2108036636206
342,593.911363301036,593.911363301036
343,590.8121586722788,590.8121586722788
344,587.9033075467868,587.9033075467868
345,585.1754412967852,585.1754412967852
346,582.6196930212635,582.6196930212635
347,580.2276851569211,580.2276851569211
348,577.9915166594959,577.9915166594959
349,575.9037498341185,575.9037498341185
350,573.9573968885371,573.9573968885371
351,572.1459062782707,572.1459062782707
352,570.4631489079818,570.4631489079818
